instance,conf.id,gen.seed,nodes,vehi,density,depot.placement,node.placement,solve.seed,time,resets,unused.vehi,cost,travel.time,total.tardiness,max.tardiness
HHCRSP_10_3_96_1.6_R_C,1.6_R_C,96,10,3,1.6,R,C,1,0.3,5,0,125.3,314.0,40.0,22.0
HHCRSP_10_3_41_1.6_R_C,1.6_R_C,41,10,3,1.6,R,C,1,0.3,6,0,94.0,261.0,14.0,7.0
HHCRSP_10_3_54_0.4_R_C,0.4_R_C,54,10,3,0.4,R,C,1,0.3,6,0,102.0,306.0,0.0,0.0
HHCRSP_10_3_57_1.0_R_C,1.0_R_C,57,10,3,1.0,R,C,1,0.3,5,0,87.3,235.0,15.0,12.0
HHCRSP_10_3_17_1.6_R_RC,1.6_R_RC,17,10,3,1.6,R,RC,1,0.4,5,0,107.0,321.0,0.0,0.0
HHCRSP_10_3_89_0.8_C_C,0.8_C_C,89,10,3,0.8,C,C,1,0.3,5,0,76.3,229.0,0.0,0.0
HHCRSP_10_3_73_1.2_C_C,1.2_C_C,73,10,3,1.2,C,C,1,0.4,5,0,111.0,333.0,0.0,0.0
HHCRSP_10_3_73_1.2_C_RC,1.2_C_RC,73,10,3,1.2,C,RC,1,0.4,5,0,139.7,389.0,19.0,11.0
HHCRSP_10_3_41_0.8_R_RC,0.8_R_RC,41,10,3,0.8,R,RC,1,0.4,5,0,190.3,407.0,126.0,38.0
HHCRSP_10_3_65_1.0_C_C,1.0_C_C,65,10,3,1.0,C,C,1,0.3,5,0,89.0,267.0,0.0,0.0
HHCRSP_10_3_42_0.8_R_C,0.8_R_C,42,10,3,0.8,R,C,1,0.4,5,0,100.7,298.0,2.0,2.0
HHCRSP_10_3_82_0.8_C_C,0.8_C_C,82,10,3,0.8,C,C,1,0.4,4,0,81.3,244.0,0.0,0.0
HHCRSP_10_3_10_0.8_R_RC,0.8_R_RC,10,10,3,0.8,R,RC,1,0.4,5,0,91.3,274.0,0.0,0.0
HHCRSP_10_3_51_0.8_C_RC,0.8_C_RC,51,10,3,0.8,C,RC,1,0.3,6,0,99.7,299.0,0.0,0.0
HHCRSP_10_3_61_1.6_R_RC,1.6_R_RC,61,10,3,1.6,R,RC,1,0.4,4,0,84.7,254.0,0.0,0.0
HHCRSP_10_3_20_1.2_C_C,1.2_C_C,20,10,3,1.2,C,C,1,0.3,4,0,108.3,301.0,17.0,7.0
HHCRSP_10_3_70_0.8_C_C,0.8_C_C,70,10,3,0.8,C,C,1,0.3,5,0,67.3,202.0,0.0,0.0
HHCRSP_10_3_27_0.4_R_RC,0.4_R_RC,27,10,3,0.4,R,RC,1,0.3,5,1,177.3,326.0,143.0,63.0
HHCRSP_10_3_43_1.6_R_RC,1.6_R_RC,43,10,3,1.6,R,RC,1,0.4,5,1,92.7,278.0,0.0,0.0
HHCRSP_10_3_41_1.0_R_R,1.0_R_R,41,10,3,1.0,R,R,1,0.4,5,0,91.3,274.0,0.0,0.0
HHCRSP_10_3_56_1.2_C_C,1.2_C_C,56,10,3,1.2,C,C,1,0.3,5,0,62.0,186.0,0.0,0.0
HHCRSP_10_3_43_1.2_C_RC,1.2_C_RC,43,10,3,1.2,C,RC,1,0.4,6,0,90.0,270.0,0.0,0.0
HHCRSP_10_3_13_1.2_C_RC,1.2_C_RC,13,10,3,1.2,C,RC,1,0.3,5,0,123.3,370.0,0.0,0.0
HHCRSP_10_3_18_1.6_C_C,1.6_C_C,18,10,3,1.6,C,C,1,0.4,6,0,82.7,248.0,0.0,0.0
HHCRSP_10_3_97_1.6_C_C,1.6_C_C,97,10,3,1.6,C,C,1,0.3,5,0,89.7,269.0,0.0,0.0
HHCRSP_10_3_37_0.8_C_RC,0.8_C_RC,37,10,3,0.8,C,RC,1,0.3,5,0,128.3,385.0,0.0,0.0
HHCRSP_10_3_81_1.2_R_RC,1.2_R_RC,81,10,3,1.2,R,RC,1,0.3,5,0,85.3,256.0,0.0,0.0
HHCRSP_10_3_79_0.4_R_C,0.4_R_C,79,10,3,0.4,R,C,1,0.4,5,0,90.3,271.0,0.0,0.0
HHCRSP_10_3_89_0.8_R_RC,0.8_R_RC,89,10,3,0.8,R,RC,1,0.3,6,0,91.3,274.0,0.0,0.0
HHCRSP_10_3_72_1.6_R_RC,1.6_R_RC,72,10,3,1.6,R,RC,1,0.3,5,1,108.3,325.0,0.0,0.0
HHCRSP_10_3_68_1.0_R_R,1.0_R_R,68,10,3,1.0,R,R,1,0.3,5,0,115.7,347.0,0.0,0.0
HHCRSP_10_3_43_0.4_R_C,0.4_R_C,43,10,3,0.4,R,C,1,0.3,5,0,104.0,312.0,0.0,0.0
HHCRSP_10_3_84_1.2_C_RC,1.2_C_RC,84,10,3,1.2,C,RC,1,0.4,5,0,85.7,257.0,0.0,0.0
HHCRSP_10_3_80_1.6_C_RC,1.6_C_RC,80,10,3,1.6,C,RC,1,0.3,5,0,109.3,328.0,0.0,0.0
HHCRSP_10_3_70_1.2_C_RC,1.2_C_RC,70,10,3,1.2,C,RC,1,0.3,6,0,70.0,210.0,0.0,0.0
HHCRSP_10_3_75_0.4_C_C,0.4_C_C,75,10,3,0.4,C,C,1,0.3,5,0,113.3,340.0,0.0,0.0
HHCRSP_10_3_97_1.0_R_RC,1.0_R_RC,97,10,3,1.0,R,RC,1,0.3,5,0,88.3,265.0,0.0,0.0
HHCRSP_10_3_68_1.6_R_C,1.6_R_C,68,10,3,1.6,R,C,1,0.3,5,0,97.3,254.0,19.0,19.0
HHCRSP_10_3_7_0.8_R_RC,0.8_R_RC,7,10,3,0.8,R,RC,1,0.3,5,0,132.0,358.0,25.0,13.0
HHCRSP_10_3_26_0.8_R_C,0.8_R_C,26,10,3,0.8,R,C,1,0.4,5,0,133.0,399.0,0.0,0.0
HHCRSP_10_3_25_1.6_R_RC,1.6_R_RC,25,10,3,1.6,R,RC,1,0.4,5,1,128.3,377.0,4.0,4.0
HHCRSP_10_3_83_1.0_R_R,1.0_R_R,83,10,3,1.0,R,R,1,0.4,5,0,120.7,291.0,39.0,32.0
HHCRSP_10_3_69_1.0_C_C,1.0_C_C,69,10,3,1.0,C,C,1,0.3,5,1,121.7,339.0,13.0,13.0
HHCRSP_10_3_48_0.8_R_RC,0.8_R_RC,48,10,3,0.8,R,RC,1,0.4,5,0,75.3,226.0,0.0,0.0
HHCRSP_10_3_12_1.6_R_RC,1.6_R_RC,12,10,3,1.6,R,RC,1,0.3,5,0,116.3,295.0,36.0,18.0
HHCRSP_10_3_56_1.2_R_C,1.2_R_C,56,10,3,1.2,R,C,1,0.3,6,0,54.3,147.0,8.0,8.0
HHCRSP_10_3_98_0.4_C_RC,0.4_C_RC,98,10,3,0.4,C,RC,1,0.3,5,0,107.3,322.0,0.0,0.0
HHCRSP_10_3_85_0.4_C_RC,0.4_C_RC,85,10,3,0.4,C,RC,1,0.4,5,0,102.7,308.0,0.0,0.0
HHCRSP_10_3_61_1.0_C_C,1.0_C_C,61,10,3,1.0,C,C,1,0.3,5,0,167.0,339.0,109.0,53.0
HHCRSP_10_3_67_0.4_R_C,0.4_R_C,67,10,3,0.4,R,C,1,0.3,5,0,98.0,294.0,0.0,0.0
HHCRSP_10_3_14_1.2_R_RC,1.2_R_RC,14,10,3,1.2,R,RC,1,0.4,5,0,209.3,373.0,192.0,63.0
HHCRSP_10_3_97_1.6_R_RC,1.6_R_RC,97,10,3,1.6,R,RC,1,0.4,5,0,107.0,321.0,0.0,0.0
HHCRSP_10_3_85_1.6_R_C,1.6_R_C,85,10,3,1.6,R,C,1,0.4,6,0,95.3,286.0,0.0,0.0
HHCRSP_10_3_58_0.4_R_RC,0.4_R_RC,58,10,3,0.4,R,RC,1,0.3,5,0,95.0,285.0,0.0,0.0
HHCRSP_10_3_72_1.0_R_R,1.0_R_R,72,10,3,1.0,R,R,1,0.3,4,0,103.7,281.0,15.0,15.0
HHCRSP_10_3_42_1.2_R_C,1.2_R_C,42,10,3,1.2,R,C,1,0.3,5,0,76.3,221.0,4.0,4.0
HHCRSP_10_3_79_1.0_C_RC,1.0_C_RC,79,10,3,1.0,C,RC,1,0.3,5,0,113.3,340.0,0.0,0.0
HHCRSP_10_3_59_1.6_R_C,1.6_R_C,59,10,3,1.6,R,C,1,0.3,6,0,66.7,200.0,0.0,0.0
HHCRSP_10_3_12_1.2_R_RC,1.2_R_RC,12,10,3,1.2,R,RC,1,0.4,5,0,116.3,295.0,36.0,18.0
HHCRSP_10_3_61_1.2_R_C,1.2_R_C,61,10,3,1.2,R,C,1,0.3,6,0,68.0,204.0,0.0,0.0
HHCRSP_10_3_3_1.6_C_C,1.6_C_C,3,10,3,1.6,C,C,1,0.3,5,0,223.3,294.0,283.0,93.0
HHCRSP_10_3_96_1.6_C_C,1.6_C_C,96,10,3,1.6,C,C,1,0.3,5,0,97.3,292.0,0.0,0.0
HHCRSP_10_3_83_0.4_R_RC,0.4_R_RC,83,10,3,0.4,R,RC,1,0.4,5,0,133.7,401.0,0.0,0.0
HHCRSP_10_3_83_1.0_C_C,1.0_C_C,83,10,3,1.0,C,C,1,0.3,5,0,110.3,331.0,0.0,0.0
HHCRSP_10_3_47_1.2_R_C,1.2_R_C,47,10,3,1.2,R,C,1,0.3,6,0,145.7,332.0,70.0,35.0
HHCRSP_10_3_91_0.4_R_RC,0.4_R_RC,91,10,3,0.4,R,RC,1,0.3,5,0,103.7,311.0,0.0,0.0
HHCRSP_10_3_91_1.6_R_RC,1.6_R_RC,91,10,3,1.6,R,RC,1,0.3,5,0,107.7,323.0,0.0,0.0
HHCRSP_10_3_75_1.0_R_C,1.0_R_C,75,10,3,1.0,R,C,1,0.3,5,0,102.7,308.0,0.0,0.0
HHCRSP_10_3_8_1.0_C_RC,1.0_C_RC,8,10,3,1.0,C,RC,1,0.3,6,0,92.0,276.0,0.0,0.0
HHCRSP_10_3_64_1.0_C_RC,1.0_C_RC,64,10,3,1.0,C,RC,1,0.3,5,0,122.0,366.0,0.0,0.0
HHCRSP_10_3_39_1.2_R_C,1.2_R_C,39,10,3,1.2,R,C,1,0.3,5,0,135.0,397.0,4.0,4.0
HHCRSP_10_3_35_1.0_C_C,1.0_C_C,35,10,3,1.0,C,C,1,0.3,5,0,84.0,252.0,0.0,0.0
HHCRSP_10_3_84_0.8_R_C,0.8_R_C,84,10,3,0.8,R,C,1,0.3,5,0,72.7,218.0,0.0,0.0
HHCRSP_10_3_15_0.8_R_RC,0.8_R_RC,15,10,3,0.8,R,RC,1,0.3,5,0,147.0,385.0,34.0,22.0
HHCRSP_10_3_34_1.2_R_C,1.2_R_C,34,10,3,1.2,R,C,1,0.3,6,0,72.7,218.0,0.0,0.0
HHCRSP_10_3_44_1.6_R_RC,1.6_R_RC,44,10,3,1.6,R,RC,1,0.4,5,0,95.7,275.0,6.0,6.0
HHCRSP_10_3_79_1.2_C_RC,1.2_C_RC,79,10,3,1.2,C,RC,1,0.3,5,0,113.3,340.0,0.0,0.0
HHCRSP_10_3_94_0.4_R_RC,0.4_R_RC,94,10,3,0.4,R,RC,1,0.4,5,0,139.3,360.0,29.0,29.0
HHCRSP_10_3_78_1.2_R_RC,1.2_R_RC,78,10,3,1.2,R,RC,1,0.3,5,0,130.7,311.0,64.0,17.0
HHCRSP_10_3_26_1.0_C_C,1.0_C_C,26,10,3,1.0,C,C,1,0.3,6,0,65.7,197.0,0.0,0.0
