instance,conf.id,gen.seed,nodes,vehi,density,depot.placement,node.placement,solve.iters,time,memory.mb,cost,travel.time,total.tardiness,max.tardiness
HHCRSP_10_3_87_1.0_C_C,1.0_C_C,87,10,3,1.0,C,C,1,0.003,14.1494,48.3582,145.075,0,0
HHCRSP_10_3_43_0.4_R_RC,0.4_R_RC,43,10,3,0.4,R,RC,1,0.002,14.1826,47.3372,142.012,0,0
HHCRSP_10_3_52_0.8_C_C,0.8_C_C,52,10,3,0.8,C,C,1,0.003,14.1875,41.6692,125.008,0,0
HHCRSP_10_3_31_1.0_C_C,1.0_C_C,31,10,3,1.0,C,C,1,0.002,14.1816,30.031,90.093,0,0
HHCRSP_10_3_79_0.8_R_C,0.8_R_C,79,10,3,0.8,R,C,1,0.004,14.2676,53.0046,159.014,0,0
HHCRSP_10_3_96_0.4_C_RC,0.4_C_RC,96,10,3,0.4,C,RC,1,0.002,14.1797,58.7249,176.175,0,0
HHCRSP_10_3_23_0.4_C_RC,0.4_C_RC,23,10,3,0.4,C,RC,1,0.002,14.1514,48.6782,146.035,0,0
HHCRSP_10_3_91_1.0_R_C,1.0_R_C,91,10,3,1.0,R,C,1,0.002,14.1719,40.6939,122.082,0,0
HHCRSP_10_3_64_0.8_R_C,0.8_R_C,64,10,3,0.8,R,C,1,0.002,14.1846,37.4119,112.236,0,0
HHCRSP_10_3_58_1.0_C_RC,1.0_C_RC,58,10,3,1.0,C,RC,1,0.002,14.1719,63.349,190.047,0,0
HHCRSP_10_3_53_1.0_R_R,1.0_R_R,53,10,3,1.0,R,R,1,0.002,14.1855,50.0091,150.027,0,0
HHCRSP_10_3_55_1.6_C_C,1.6_C_C,55,10,3,1.6,C,C,1,0.002,14.1787,45.668,137.004,0,0
HHCRSP_10_3_15_1.6_R_C,1.6_R_C,15,10,3,1.6,R,C,1,0.002,14.1797,38.4069,115.221,0,0
HHCRSP_10_3_24_1.0_C_C,1.0_C_C,24,10,3,1.0,C,C,62,0.003,14.1855,57.3752,172.125,0,0
HHCRSP_10_3_23_1.6_C_C,1.6_C_C,23,10,3,1.6,C,C,1,0.002,14.1748,35.3657,106.097,0,0
HHCRSP_10_3_81_1.2_C_RC,1.2_C_RC,81,10,3,1.2,C,RC,1,0.002,14.1846,59.349,178.047,0,0
HHCRSP_10_3_28_1.0_R_C,1.0_R_C,28,10,3,1.0,R,C,1,0.003,14.1748,40.3819,121.146,0,0
HHCRSP_10_3_43_1.6_C_C,1.6_C_C,43,10,3,1.6,C,C,1,0.002,14.1797,32.3463,97.0388,0,0
HHCRSP_10_3_90_1.6_R_C,1.6_R_C,90,10,3,1.6,R,C,1,0.002,14.1475,43.3719,130.116,0,0
HHCRSP_10_3_46_0.8_C_RC,0.8_C_RC,46,10,3,0.8,C,RC,1,0.001,14.1689,60.0145,180.044,0,0
